-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
6115;8;37,865047:3,522050;37,724418:3,980071;22/1/2026 16:12;8549TMB
-17069800A;CAtEDYNAv5Mn;Camila McCarlich;669 Bashford Lane;41,482452;-6,581986
6116;15;37,506699:3,646107;37,778314:3,940306;25/6/2027 16:12;9725DBF
6117;17;37,429090:3,770592;37,900266:3,582080;19/3/2035 16:12;1287ZXP
-47450259U;8wKgBDoK;Jermain Armsby;8 Rowland Road;38,809013;-3,018296
6118;15;37,041719:3,606250;37,529740:3,726371;14/6/2029 16:12;4632ZFZ
6119;31;37,399457:3,304758;37,861721:3,512345;30/10/2052 16:12;7658KMT
6120;70;37,751061:3,748558;37,759758:3,104770;9/11/2046 16:12;9115RTL
6121;8;37,029115:3,659963;37,726249:3,704031;3/7/2040 16:12;8580IWN
6122;4;37,830561:3,059664;37,576983:3,206153;5/2/2025 16:12;4002SKK
-52861180U;2FBTr9k7;Corie Secretan;138 Mcbride Place;36,963947;-4,880813
6123;11;37,218116:3,962523;37,855892:3,304178;17/10/2048 16:12;0163PGK
6124;77;37,268441:3,903134;37,504532:3,104648;8/7/2019 16:12;4840HJZ
6125;45;37,293100:3,161382;37,735649:3,876766;26/8/2050 16:12;8073QRC
6126;32;37,501358:3,867244;37,257759:3,140294;17/12/2025 16:12;3118ZAK
-16136919Y;5CGYtKjr9z0;Shaun Wolfinger;87 Everett Center;43,120934;1,216894
6127;85;37,131901:3,022492;37,354320:3,343486;8/9/2057 16:12;6038PES
6128;35;37,584185:3,560686;37,170415:3,368084;25/4/2050 16:12;0539ELS
-44483542J;yakeGgbU;Ryley Blizard;9871 Superior Drive;40,921707;-4,362275
6129;92;37,789209:3,811762;37,662343:3,051576;14/2/2045 16:12;6381XIB
6130;33;37,896268:3,584155;37,189642:3,833033;9/6/2052 16:12;0187OBR
6131;8;37,159215:3,722953;37,894864:3,533128;5/12/2042 16:12;8621LHO
-71979879R;2qy2CMxaO;Gaelan Somner;9 Alpine Place;35,905769;2,502425
6132;32;37,510331:3,462569;37,708274:3,863796;8/10/2055 16:12;4027YUW
6133;53;37,039338:3,215613;37,138401:3,685720;11/12/2056 16:12;0539ELS
6134;16;37,796533:3,662557;37,217353:3,772698;4/9/2033 16:12;7137PHR
-97443468R;fKXLfMhVQR;Fransisco Hartlebury;43801 Paget Circle;35,915680;-3,524853
6135;48;37,761589:3,879391;37,049989:3,969054;2/5/2040 16:12;8660CKW
6136;12;37,592395:3,563433;37,244270:3,680563;22/1/2022 16:12;6488YFB
6137;80;37,676626:3,554430;37,819819:3,377911;17/4/2025 16:12;4302UFG
6138;19;37,405408:3,747612;37,440352:3,424024;3/11/2027 16:12;5480PXQ
6139;20;37,657613:3,430647;37,234657:3,939879;26/2/2022 16:12;2542SLU
-01244241A;HvHl30T;Marinna Oswald;3 Maple Avenue;36,329838;-3,510213
6140;5;37,737968:3,202185;37,992859:3,601398;29/8/2044 16:12;8611FZW
-48614175M;USMMadM;Cathlene McGow;508 Briar Crest Park;40,233551;-5,932622
6141;38;37,823267:3,232734;37,668722:3,662435;23/9/2027 16:12;9662PKX
6142;1;37,214606:3,970885;37,666005:3,275307;10/6/2029 16:12;5949GHD
6143;4;37,512680:3,459212;37,762108:3,002808;19/6/2029 16:12;2232HQL
6144;9;37,161718:3,192389;37,238929:3,021912;24/5/2056 16:12;5102IBD
-85921049F;la7G9FYik;Ravid Whitter;2665 Lindbergh Street;36,797104;2,507489
6145;12;37,589923:3,118625;37,677328:3,020569;9/7/2046 16:12;6133YNN
6146;32;37,011963:3,564074;37,560259:3,335520;27/11/2019 16:12;0507MFR
6147;1;37,332286:3,009064;37,332896:3,922514;12/5/2029 16:12;8871VJO
-80906415Z;ogJGP6RVr;Leighton McQuillan;96 Caliangt Street;36,813431;-6,425514
6148;29;37,101901:3,977264;37,866085:3,860897;4/4/2054 16:12;4774USN
-06255661Q;QNiuhSMtTu;Astrix Oatley;1505 Red Cloud Hill;40,055977;-4,005555
6149;64;37,972930:3,653249;37,337565:3,868923;6/2/2025 16:12;8213SGX
6150;1;37,970336:3,688528;37,182958:3,454756;13/1/2034 16:12;1336KJY
6151;30;37,723441:3,057436;37,267800:3,591723;19/2/2019 16:12;5429VQV
6152;18;37,913907:3,588519;37,990936:3,903958;17/6/2025 16:12;2912WPD
-24918518F;pqOcKNxOO;Tye Drinkhill;85664 Calypso Center;42,610699;-5,637892
6153;6;37,785974:3,393719;37,288644:3,888028;14/3/2053 16:12;4144LOO
6154;40;37,121006:3,000244;37,487594:3,348491;22/5/2055 16:12;9555SVF
6155;63;37,191076:3,924619;37,111118:3,894650;21/2/2032 16:12;0097BBF
-73255746H;dZxRDK;Wood Sandifer;558 Calypso Way;38,494610;1,460045
6156;16;37,532426:3,926542;37,757958:3,380993;26/4/2044 16:12;9048HDS
6157;6;37,980346:3,744346;37,400159:3,173772;28/11/2027 16:12;7709OTQ
-30307717J;U7bQ34;Jeremiah Amort;036 Bowman Plaza;38,185654;-3,152117
6158;27;37,105014:3,387371;37,740135:3,738212;25/2/2029 16:12;8667IXO
6159;2;37,884610:3,118992;37,392132:3,900540;28/4/2035 16:12;2706NHE
6160;3;37,954161:3,352763;37,704978:3,282022;14/7/2055 16:12;1174LRH
6161;19;37,029603:3,292825;37,772576:3,546373;29/11/2032 16:12;1727QJC
-87310987G;Jn3jmB;Fanny Klaussen;5999 Brentwood Court;43,110180;-5,983267
6162;5;37,187231:3,191015;37,446669:3,118198;8/3/2048 16:12;2157ZDX
-06963976G;5sAzG5p0WXTG;Alford Lasham;1 Anzinger Pass;38,054573;1,429638
6163;41;37,430067:3,808771;37,485794:3,847407;23/12/2028 16:12;8803PCM
6164;3;37,745293:3,064638;37,415601:3,817438;7/3/2038 16:12;8055RUL
-47499688K;EtjjxTilAkzp;Dru Stainland;61491 Almo Place;39,086845;1,464659
6165;57;37,820063:3,994690;37,839045:3,036348;14/10/2038 16:12;8239SAC
6166;7;37,859767:3,821375;37,513016:3,853816;21/3/2050 16:12;4479UEC
-58591332T;ZLIhYOQW0QoO;Breena Lagen;3 Debra Road;37,159046;1,725875
6167;4;37,685598:3,836543;37,037294:3,960051;11/11/2041 16:12;8005DBT
6168;15;37,383770:3,818567;37,385022:3,426038;10/5/2040 16:12;3773SEZ
6169;92;37,310251:3,337931;37,597552:3,330546;30/3/2023 16:12;9656CFI
-60563638B;m4O5waNj;Rudolf Chaffen;704 East Lane;42,265961;-6,781561
6170;4;37,319987:3,562304;37,880062:3,577898;15/1/2047 16:12;9735HKJ
6171;21;37,904782:3,625355;37,707236:3,109317;22/12/2030 16:12;0513ION
6172;14;37,606342:3,628620;37,226203:3,634266;22/2/2047 16:12;0603ZJC
6173;17;37,216437:3,939482;37,578021:3,880032;18/6/2047 16:12;1536MKC
-10366519M;rCAR62mD1;Perl Shields;6 Magdeline Center;39,957073;2,613708
6174;26;37,637562:3,409406;37,739006:3,510544;9/5/2036 16:12;7682KDB
6175;74;37,506119:3,325175;37,936979:3,017914;16/11/2030 16:12;9371TTK
6176;38;37,867977:3,331767;37,185736:3,848811;27/3/2019 16:12;9275MGP
6177;23;37,186316:3,910916;37,018952:3,306864;12/10/2045 16:12;9469QLW
-47985370W;cESiwu;Kessia Allain;62089 Del Mar Park;35,965557;3,212201
6178;87;37,945952:3,173772;37,256386:3,355083;20/1/2051 16:12;1966PVO
6179;86;37,444319:3,638661;37,029847:3,221290;11/11/2035 16:12;2801CLM
6180;17;37,271126:3,824824;37,589404:3,554399;19/12/2036 16:12;9369UVH
6181;59;37,239326:3,127720;37,553301:3,192785;10/1/2025 16:12;3965HCH
6182;78;37,571306:3,391217;37,045686:3,474044;6/8/2037 16:12;5224QJE
-20305413J;pfs1di05t8M;Karna Tabb;08 Service Center;41,204082;-8,364867
6183;4;37,719657:3,446669;37,979553:3,886105;27/4/2035 16:12;0555WKP
6184;81;37,911588:3,884060;37,381359:3,875149;2/6/2024 16:12;8482WYQ
-05183376V;QsTLbt6MjZ;Angeline Chaplyn;56 Anzinger Parkway;37,066704;-4,307021
6185;65;37,533738:3,994385;37,143620:3,054903;6/7/2041 16:12;3536WZR
6186;45;37,035859:3,564135;37,168767:3,456038;21/7/2044 16:12;9145DGP
-05015881M;62M1731I;Corrie Sharpe;1098 Meadow Vale Court;38,585197;1,827096
6187;8;37,555559:3,719749;37,427717:3,116489;21/9/2052 16:12;9725DBF
6188;13;37,000153:3,166295;37,055849:3,716727;10/9/2021 16:12;6223RFH
6189;30;37,121067:3,349223;37,148350:3,874477;4/5/2028 16:12;0855RVJ
6190;20;37,294351:3,044038;37,285836:3,031098;1/8/2053 16:12;0712KKX
-10312167R;k0wD2hkq5Z;Raymond Lumb;315 Hauk Street;36,451248;-8,240847
6191;34;37,725517:3,821223;37,326884:3,557634;3/8/2043 16:12;3676OID
6192;11;37,922086:3,563616;37,942930:3,364330;29/10/2050 16:12;8904ISC
6193;33;37,409711:3,299692;37,752739:3,945189;10/7/2047 16:12;5218ZUD
6194;74;37,807794:3,381420;37,357006:3,923917;4/5/2039 16:12;8656JWN
-33792057Z;5iuKmlPooPk;Troy Sigward;1965 Badeau Way;42,619286;0,001486
6195;6;37,450148:3,116611;37,915189:3,940916;19/5/2046 16:12;2441WUB
-12281424O;gAPfY588pk;Shay Lamb;1 Lakewood Parkway;39,067280;-1,482403
6196;3;37,689138:3,101749;37,316141:3,903867;4/3/2043 16:12;4840HJZ
6197;80;37,068972:3,626392;37,366344:3,447310;31/8/2033 16:12;1471JPH
6198;4;37,610645:3,413343;37,011109:3,626850;23/7/2026 16:12;1001DWQ
-91287092K;szOUJfVesER;Bertina Gislebert;5493 Dixon Parkway;35,967819;-0,927952
6199;28;37,230995:3,413709;37,112003:3,775414;11/1/2040 16:12;9647ZLN
-30708594L;k37KROm;Tansy De Blasi;53 Dunning Court;38,294659;3,092656
6200;42;37,586413:3,755211;37,372936:3,999542;3/11/2031 16:12;8433RSQ
6201;18;37,659383:3,374706;37,856349:3,592822;8/8/2033 16:12;5315PPD
6202;1;37,889950:3,767418;37,099521:3,403241;23/4/2042 16:12;5921KRL
6203;3;37,424940:3,700491;37,946257:3,276376;11/2/2053 16:12;0454YAD
6204;57;37,268593:3,412915;37,855556:3,003021;12/12/2029 16:12;7191ZKB
-14141702Q;AsGbEy;Ella Blenkharn;99799 Hanson Junction;36,563351;0,915642
6205;25;37,446608:3,984008;37,436262:3,116642;4/6/2033 16:12;0528UBI
6206;77;37,516800:3,913572;37,152409:3,359142;30/7/2034 16:12;1754NVY
6207;88;37,560747:3,701559;37,200812:3,704855;27/12/2050 16:12;9448TVS
-47306681K;MYN1wzhG;Gail Emeney;587 Hagan Pass;39,487663;-8,432120
6208;31;37,945769:3,820887;37,178472:3,178198;2/3/2043 16:12;7117JMD
6209;17;37,468368:3,801721;37,728324:3,754143;29/5/2039 16:12;7309SBZ
-40716213Z;sQ2RQss;Hillary Debrick;6 Longview Parkway;38,197166;-8,404272
6210;52;37,762963:3,040681;37,618793:3,769677;3/8/2046 16:12;2767XGY
-30281098E;3gA9Gv;Rollin Yesipov;75 Heath Place;39,625526;0,534333
6211;4;37,169988:3,437147;37,873684:3,849849;23/2/2053 16:12;8645QOK
-88167247K;TpArV7f8PDO;Tomasina Sute;26678 Park Meadow Drive;40,612282;-6,978911
6212;1;37,697439:3,893338;37,561541:3,464431;24/4/2027 16:12;9855NBR
-44316988D;X7HV0kg;Demetri Ceschelli;200 Summit Park;41,530079;-6,563497
6213;43;37,907682:3,878567;37,069552:3,612079;9/4/2039 16:12;8461DCM
6214;76;37,612293:3,619739;37,004181:3,036378;23/9/2049 16:12;8417IKW
6215;42;37,002197:3,373180;37,633839:3,887661;3/11/2027 16:12;8758KXO
6216;40;37,213172:3,206763;37,706320:3,729392;13/5/2030 16:12;5400FFZ
-70592956C;hdjY46syN;Bridie Toulson;8513 Delaware Crossing;41,391254;0,698546
6217;39;37,893612:3,748589;37,945067:3,121158;20/2/2049 16:12;9321VFT
6218;20;37,270852:3,733818;37,380169:3,621540;2/8/2022 16:12;9428NBX
6219;4;37,444258:3,870937;37,444014:3,175817;24/12/2053 16:12;0867TDQ
6220;17;37,820612:3,795068;37,598621:3,777612;4/11/2048 16:12;8666GUR
6221;76;37,080630:3,544603;37,760643:3,018342;6/6/2043 16:12;4783AVD
-74362209L;wRGvbJ6Cx2T6;Caz Antoszczyk;603 Carey Street;35,948311;-7,164318
6222;22;37,612995:3,374096;37,395978:3,214148;27/7/2038 16:12;6024TDO
-54731819W;ZijQvf8Tyokg;Ruby Prinett;05688 Chinook Drive;40,148277;-4,791537
6223;50;37,752251:3,364910;37,336161:3,183508;18/5/2049 16:12;2809FXX
6224;59;37,493179:3,787591;37,333537:3,753502;31/7/2036 16:12;1780UGT
6225;4;37,877834:3,103519;37,217780:3,565874;5/5/2021 16:12;7093ENH
-92478609J;sSjjro;Peria Walkden;1 Dennis Point;39,676701;3,001082
6226;35;37,039644:3,914579;37,190680:3,292917;20/6/2025 16:12;9115RTL
6227;38;37,950621:3,016724;37,520127:3,095096;4/3/2049 16:12;2106NOM
-35645843B;COKEES;Sibley Forty;68489 Warbler Court;39,092422;-3,392724
6228;64;37,355205:3,670766;37,277779:3,680136;21/8/2045 16:12;3221ALY
-67912884B;ym06CgFLufp;Kacy Nickerson;297 Namekagon Way;37,701405;-8,150603
6229;16;37,591388:3,026276;37,661092:3,406568;8/11/2055 16:12;2952YYK
6230;4;37,494430:3,121738;37,646290:3,078799;15/6/2020 16:12;1421CUB
6231;44;37,270913:3,059023;37,048250:3,354991;12/10/2051 16:12;9261AGR
-59439993J;x8JMM5b;Egan Easdon;135 Oxford Lane;40,874390;-0,593875
6232;20;37,349132:3,084628;37,601886:3,258187;23/2/2054 16:12;5824STJ
-48241928A;LPCyARDFM1;Abie Bockman;850 Carpenter Junction;39,620922;-6,856328
6233;37;37,557848:3,213202;37,014985:3,639760;10/6/2058 16:12;6865ZQJ
6234;5;37,814142:3,129307;37,596759:3,060152;24/9/2025 16:12;5006LUF
6235;26;37,756859:3,445418;37,689535:3,813959;22/12/2034 16:12;0981WCB
-23338116B;1onz4LHstP0E;Rosalyn Remnant;3 Kingsford Place;40,979046;-8,595872
6236;79;37,061525:3,405805;37,598773:3,793451;13/8/2055 16:12;5252VFB
6237;14;37,179937:3,025269;37,911191:3,075777;4/7/2054 16:12;4385EQL
6238;39;37,085879:3,933226;37,436659:3,751823;21/3/2039 16:12;6110BBM
6239;2;37,814966:3,530503;37,072970:3,036866;25/11/2042 16:12;8175KZH
-38513054U;JOeOaYLhTzvl;Nat Flaubert;79 Manufacturers Plaza;39,497349;-3,556605
6240;72;37,371471:3,341472;37,403272:3,639454;15/2/2037 16:12;4994JEC
6241;42;37,042329:3,560320;37,226264:3,251411;14/2/2041 16:12;8237FAQ
-35045503B;PT0hcfkcY11j;Saudra Caselli;2 Kipling Pass;36,503468;2,318827
6242;25;37,301004:3,570360;37,515824:3,069521;3/4/2033 16:12;0173SHH
6243;24;37,255379:3,631428;37,727378:3,093234;29/5/2037 16:12;7673PGH
6244;32;37,615284:3,238319;37,072054:3,526139;6/3/2031 16:12;5296YFM
6245;91;37,393567:3,710501;37,663259:3,111850;23/1/2047 16:12;5628FGY
-99835919S;xtzEYxJGZ;Louie Bonnesen;5 Sutteridge Parkway;35,874229;1,452671
6246;9;37,027680:3,255593;37,570879:3,184515;6/10/2026 16:12;9588GCG
6247;18;37,229377:3,998474;37,190435:3,148534;7/4/2025 16:12;4274WAI
6248;13;37,514420:3,438063;37,966735:3,962340;22/3/2053 16:12;4874IIZ
-53315731Z;z9AbeUbh;Sharyl Yashnov;1080 Northport Trail;42,739346;1,976129
6249;14;37,463729:3,905179;37,673421:3,841731;3/9/2040 16:12;3072QJD
6250;20;37,538743:3,290506;37,776208:3,387890;8/12/2034 16:12;6896TQO
6251;5;37,387555:3,395642;37,991119:3,402142;21/9/2049 16:12;7507NLP
6252;16;37,565630:3,400098;37,709403:3,553484;7/6/2041 16:12;6598MKD
-79527109S;Ntxnack6Ove6;Orson Marriner;11109 Spenser Park;41,303513;-5,256066
6253;17;37,652608:3,630329;37,480300:3,123936;24/11/2022 16:12;7566UTG
6254;4;37,135289:3,097629;37,823756:3,630177;10/2/2033 16:12;1473DLD
-13162925R;7DBUCRmIe3;Manon Brockelsby;0 Village Green Junction;38,645786;-4,837613
6255;96;37,966857:3,881863;37,442183:3,973632;16/1/2054 16:12;0395KAX
-53207866D;U0vsSIhY;Teddy Seine;2329 Novick Circle;41,744648;-3,316185
6256;24;37,886898:3,505081;37,885769:3,480880;4/11/2023 16:12;7064DHM
6257;19;37,888699:3,472427;37,182592:3,081912;26/8/2026 16:12;5223SXZ
-02248895P;0jmOXVqOzIt;Bird Kelby;4 Brentwood Terrace;37,941387;-0,073169
6258;8;37,738060:3,924833;37,212073:3,565722;19/7/2037 16:12;4432WRB
-76354551Z;GDKuZ5IfXyO;Jacquette Eggleston;0 Calypso Road;39,857800;1,951703
6259;39;37,826746:3,752281;37,176153:3,795312;14/4/2041 16:12;8804AOL
6260;1;37,293680:3,042238;37,847163:3,612964;3/10/2051 16:12;6827NBM
-01713696X;o0uGbP1;Lucilia Skpsey;40 Clarendon Crossing;37,627605;-4,780455
6261;61;37,638325:3,556108;37,350414:3,073702;8/12/2054 16:12;8372QXC
6262;67;37,412702:3,232734;37,992584:3,491989;14/8/2030 16:12;1119AQE
-61331861R;tpNhJw4FnU;Sylvan Bunton;4 Magdeline Lane;40,237728;-6,649384
6263;72;37,108310:3,831233;37,139958:3,940794;16/2/2036 16:12;8755VEF
6264;31;37,056856:3,042055;37,603473:3,030244;13/2/2051 16:12;2454PVO
6265;55;37,678671:3,021760;37,659902:3,874813;12/1/2031 16:12;9484ZVZ
6266;33;37,567614:3,515366;37,996918:3,582293;7/5/2025 16:12;3214FQB
6267;2;37,179388:3,721885;37,769860:3,481613;4/1/2056 16:12;8898BQK
-42859761E;CHEc9G;Ezra Margiotta;40601 Buhler Terrace;36,608803;-0,412263
6268;53;37,959716:3,609027;37,857814:3,887692;7/5/2039 16:12;3590HIO
6269;50;37,891293:3,271676;37,782342:3,470016;28/1/2057 16:12;5264KWO
-91127319G;7mrc7ZFxunHT;Eldin Kealey;214 Debra Street;42,775425;-0,529185
6270;5;37,027955:3,801630;37,001770:3,327494;23/5/2041 16:12;1500YFM
6271;37;37,287454:3,231727;37,138798:3,953215;21/7/2026 16:12;6865ZQJ
-29182889Z;I4DQWChJINW0;Cheri Puckinghorne;7099 Dennis Court;40,904224;-2,229086
6272;8;37,801202:3,337535;37,066286:3,815607;14/8/2058 16:12;9484ZVZ
6273;71;37,516953:3,022584;37,638325:3,792077;24/7/2029 16:12;9555SVF
6274;39;37,469832:3,706595;37,327250:3,253365;1/3/2044 16:12;0785MYI
6275;9;37,736442:3,261422;37,988372:3,420667;11/2/2037 16:12;9079KPH
6276;72;37,111972:3,023164;37,293374:3,737693;16/6/2019 16:12;4637IGS
-07192293S;5lxcw6RdS;Glad Banbridge;717 Superior Center;36,715019;-4,581567
6277;44;37,057344:3,782281;37,562517:3,690176;11/5/2046 16:12;6463BYP
6278;34;37,200964:3,376843;37,885250:3,419050;29/11/2022 16:12;0927JVD
6279;5;37,597583:3,037568;37,867183:3,124760;29/9/2032 16:12;3195DDM
-38384222W;5p7iDP;Angelique Grinishin;079 Green Lane;36,348244;-4,028885
6280;1;37,978484:3,232887;37,265847:3,223395;25/6/2053 16:12;5232DFN
6281;30;37,194098:3,483596;37,271859:3,330180;29/9/2023 16:12;9650VXX
6282;6;37,115360:3,090304;37,883419:3,327067;18/1/2035 16:12;0434RYL
-42511582I;OAVcSwj;Rozanne Forstall;442 Warrior Hill;37,896198;-3,163797
6283;4;37,051332:3,773644;37,653737:3,581805;25/9/2055 16:12;9555SVF
6284;72;37,448622:3,056856;37,255165:3,074038;10/1/2034 16:12;8937WEF
-76602557V;ZTk2mJ48;Zachary Husbands;52508 Mendota Place;42,318119;-5,031110
6285;32;37,744133:3,458357;37,385907:3,888943;6/1/2020 16:12;0417HBX
6286;66;37,289377:3,813868;37,632038:3,227851;27/12/2039 16:12;6055TFI
6287;20;37,717917:3,504379;37,884335:3,424268;30/1/2058 16:12;9397ZHV
6288;3;37,878750:3,637776;37,960906:3,853999;2/4/2033 16:12;5450SDS
-36677117I;aosiG6EW;Hilliary Cubbino;6 Crownhardt Center;39,739105;-7,134098
6289;4;37,910886:3,441603;37,241249:3,041566;21/4/2035 16:12;3905IVN
6290;55;37,809473:3,049928;37,773736:3,670583;12/7/2035 16:12;8755VEF
-18220204C;nhEzLc;Norene Bleesing;7 Hoard Terrace;40,279720;-8,664144
6291;6;37,435774:3,396710;37,829310:3,218360;4/11/2025 16:12;1973NHR
6292;42;37,569567:3,718955;37,477584:3,964721;26/3/2056 16:12;9885EVO
-72888741C;HNmyvln01u;Gerhardt Dyson;06 Cherokee Lane;41,409054;-1,335532
6293;70;37,366070:3,461959;37,501938:3,128513;24/1/2058 16:12;5857WBF
6294;89;37,526444:3,999298;37,291391:3,055574;23/6/2035 16:12;1471JPH
-76604449S;QAZbeygyYxg;Ekaterina Brunning;5 Helena Avenue;38,575733;-9,040467
6295;14;37,923063:3,422712;37,972015:3,956908;25/5/2025 16:12;7079AJK
6296;35;37,953734:3,517289;37,190069:3,194464;14/3/2024 16:12;4178UVQ
-09396248A;Bne0XLw;Weidar Darbon;72989 Merchant Park;36,658318;-1,064729
6297;33;37,066408:3,356914;37,467849:3,567614;22/12/2040 16:12;6489VIX
6298;34;37,130924:3,048555;37,647572:3,252052;24/10/2027 16:12;2050BCE
-74895836J;mX4cLwkbRg;Zandra Manach;1 Surrey Drive;37,309933;-0,506308
6299;6;37,625019:3,670461;37,645711:3,284036;5/10/2025 16:12;1534YED
6300;62;37,997772:3,199744;37,713767:3,669851;5/3/2051 16:12;1473DLD
6301;12;37,908231:3,624012;37,320078:3,254036;13/10/2058 16:12;4014HKJ
6302;37;37,501663:3,952971;37,528062:3,267006;1/12/2039 16:12;5681PXQ
6303;11;37,110477:3,581500;37,527818:3,732810;18/9/2020 16:12;9096TMK
-98659314Y;dptUufPhy8;Pris Conville;53 3rd Hill;40,483105;0,650539
6304;3;37,229499:3,011200;37,742241:3,774529;4/8/2041 16:12;5120KPN
6305;12;37,898038:3,758385;37,975280:3,747978;29/9/2055 16:12;8558LSN
6306;8;37,595813:3,974029;37,044832:3,391675;19/10/2050 16:12;9653SFI
6307;85;37,929563:3,173986;37,148381:3,934660;30/9/2050 16:12;8723XMW
-94825089O;iCVhYW2;Francesca Mulryan;625 Scofield Plaza;43,125931;-8,032051
6308;6;37,674642:3,916807;37,354839:3,354900;19/3/2019 16:12;8549TMB
6309;51;37,874172:3,738762;37,597430:3,732139;7/12/2027 16:12;7073KNV
6310;3;37,471236:3,009552;37,337626:3,203955;4/9/2024 16:12;4632ZFZ
6311;12;37,672079:3,281899;37,348888:3,374035;17/4/2034 16:12;1911PHK
6312;41;37,805567:3,339640;37,186346:3,956450;9/3/2053 16:12;7073KNV
-18598252V;kqziJtyS;Augustin Stoffer;5937 Norway Maple Plaza;38,688843;-1,482874
6313;21;37,361156:3,892026;37,668386:3,882687;18/11/2023 16:12;7969ZOQ
6314;73;37,858394:3,420118;37,925810:3,364391;7/3/2033 16:12;5681PXQ
-77606478T;bkyUz3Wg;Marchelle McCray;98453 Bashford Drive;38,334839;-2,799653
6315;21;37,255531:3,871700;37,156774:3,474929;29/9/2052 16:12;0513ION
6316;37;37,196570:3,884976;37,404889:3,757134;1/11/2027 16:12;8237FAQ
-45484764A;c7IZTC9L;Imogene Caile;04 Continental Avenue;36,352329;2,255351
6317;1;37,783471:3,318918;37,758324:3,567461;30/9/2054 16:12;1303BKN
6318;19;37,873623:3,328379;37,356273:3,127415;9/10/2048 16:12;6820RTI
6319;4;37,654805:3,546098;37,710959:3,533372;14/5/2029 16:12;8414DXC
-94469701M;5c6IFC;Tamra Kinsella;656 Macpherson Hill;38,352341;-1,732355
6320;24;37,453871:3,653859;37,051119:3,760582;27/11/2040 16:12;5120KPN
6321;13;37,015839:3,961150;37,177984:3,778588;24/1/2019 16:12;6488YFB
6322;66;37,732627:3,026673;37,218848:3,729759;19/6/2052 16:12;3646DYA
-75416669X;z2CtwdJ;Gwendolin Capsey;1 Dwight Hill;39,521721;-4,614007
6323;69;37,884030:3,341227;37,927549:3,203253;3/12/2055 16:12;1013UKS
6324;3;37,373363:3,727866;37,687887:3,819758;23/10/2032 16:12;8414DXC
-93123144P;ixck1H;Gene Bebis;6 Crest Line Way;41,842175;1,396152
6325;8;37,609455:3,817255;37,398938:3,679464;27/8/2057 16:12;4131WXL
6326;44;37,663808:3,893002;37,658162:3,435011;22/4/2047 16:12;9371TTK
-82590037U;OnQtba;Carney Hartness;3 Browning Lane;40,564804;-4,063798
6327;10;37,730644:3,606220;37,008454:3,634877;17/3/2045 16:12;6788NGR
6328;6;37,174871:3,271706;37,886868:3,567156;30/8/2050 16:12;7180FUS
6329;17;37,737053:3,311533;37,926756:3,029176;17/12/2056 16:12;8097NWA
6330;24;37,040681:3,898282;37,613483:3,567248;30/3/2038 16:12;3916BWC
-30210625F;Toqqy6DCzOzZ;Valaree Newns;669 7th Avenue;40,523888;-6,107313
6331;63;37,559282:3,959929;37,252449:3,154332;20/4/2021 16:12;0999VLE
6332;24;37,382397:3,222541;37,924955:3,340098;9/12/2043 16:12;0867TDQ
6333;33;37,281442:3,051088;37,630024:3,589160;29/8/2056 16:12;9428NBX
6334;10;37,475234:3,546587;37,816858:3,124760;11/7/2029 16:12;4274WAI
6335;68;37,573778:3,319040;37,967895:3,288980;12/2/2049 16:12;8610GEM
-22895938I;2kx1uCZQbAU;Audre Chasier;26 Barby Alley;42,895302;-8,717545
6336;62;37,730338:3,238044;37,518845:3,160955;18/3/2039 16:12;6022FFA
-52137684W;OO91J4hNrwBP;Dar Larkkem;6217 Nancy Junction;36,146328;0,764573
6337;46;37,186468:3,412946;37,691763:3,811640;12/1/2026 16:12;6355JDI
6338;7;37,932493:3,429304;37,604511:3,725639;6/6/2023 16:12;8295KOI
6339;57;37,766259:3,729942;37,690390:3,893765;31/3/2052 16:12;4135LLA
6340;60;37,637593:3,517319;37,929167:3,309030;4/6/2058 16:12;3759SNC
-22965785E;rL3BrIUE2n;Yolane Koppens;1 Westerfield Parkway;37,945446;-1,768359
6341;15;37,222846:3,613392;37,066622:3,255318;11/11/2024 16:12;6896TQO
6342;1;37,067843:3,287881;37,204962:3,103824;1/6/2040 16:12;4874BSJ
6343;3;37,616260:3,795892;37,490310:3,762383;4/4/2033 16:12;8887CBS
6344;3;37,665151:3,123386;37,727103:3,371197;27/3/2032 16:12;8055RUL
-06752280E;kosOGl;Ambrosi Besse;1869 Prairieview Place;39,103882;-8,625995
6345;77;37,055300:3,660237;37,903806:3,501755;25/7/2020 16:12;8610GEM
-08643936X;NwuqQuce;Sydney Delatour;2145 Basil Park;40,339718;1,998019
6346;11;37,908139:3,793329;37,363628:3,572375;14/7/2023 16:12;3737OWL
6347;3;37,049715:3,558489;37,017060:3,617054;6/1/2046 16:12;2014KSC
6348;57;37,546831:3,603961;37,254646:3,948576;23/1/2040 16:12;3916BWC
6349;5;37,138920:3,476485;37,763207:3,955016;9/7/2054 16:12;0081XSC
6350;57;37,195105:3,007172;37,770989:3,212592;14/9/2026 16:12;6642KAP
-70995988T;jf2qFEC5MZ;Ninette Jirusek;2987 Columbus Center;39,914909;0,645131
6351;7;37,572314:3,272561;37,478713:3,101382;29/11/2021 16:12;3726ZYY
-31259052V;Q2ccrDZrqc6;Faythe Cammiemile;5 Badeau Pass;36,958961;-6,438237
